accession	strain	date	PPX_accession	PPX_accession__url	INSDC_accession	INSDC_accession__url	region	country	division	location	host	date_submitted	sra_accession	authors	institution	dataUseTerms	dataUseTerms__url	restrictedUntil	clade	escape	qc.overallScore	qc.overallStatus	missing_data	alignmentScore	alignmentStart	alignmentEnd	genome_coverage	cdsCoverage	F_coverage	G_coverage
PP_0021Z7H	Hong_Kong/PP_0021Z7H.1/2004-12-17	2004-12-17	PP_0021Z7H.1	https://pathoplexus.org/seq/PP_0021Z7H.1	JN968366.1	https://www.ncbi.nlm.nih.gov/nuccore/JN968366.1	Asia	Hong Kong				2012-01-10		Mak, G. C.; Lau, C. S.; Chiu, D. M. Y.; Lim, W.	Public Health Laboratory Services Branch, Centre for Health Protection, Department of Health, Virology Division	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	930	5276	5605	0.0216791486007095	G:0.3247588424437299	0.0	0.3247588424437299
PP_00224B2	Malaysia/PP_00224B2.1/2003-11	2003-11-XX	PP_00224B2.1	https://pathoplexus.org/seq/PP_00224B2.1	JX256982.1	https://www.ncbi.nlm.nih.gov/nuccore/JX256982.1	Asia	Malaysia				2013-01-24		Khor, C. S.; Sam, I. C.; Hooi, P. S.; Chan, Y. F.	University Malaya, Department of Medical Microbiology, Faculty of Medicine	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	912	5276	5599	0.02128498226251478	G:0.3247588424437299	0.0	0.3247588424437299
PP_0022579	Taiwan/PP_0022579.1/2004	2004-XX-XX	PP_0022579.1	https://pathoplexus.org/seq/PP_0022579.1	JX477549.1	https://www.ncbi.nlm.nih.gov/nuccore/JX477549.1	Asia	Taiwan				2012-10-30		Chi, H.; Liu, H. F.; Weng, L. C.; Wang, N. Y.; Chiu, N. C.; Lai, M. J.; Lin, Y. C.; Chiu, Y. Y.; Hsieh, W. S.; Huang, L. M.; Chiang, C. L.; Huang, G. J.; Cheng, Y. Y.	Mackay Memorial Hospital, Pediatrics	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	2615	5768	6660	0.05866509000131389	F:0.5165217391304348	0.5165217391304348	0.0
PP_00228BY	Netherlands/PP_00228BY.1/2010-12-12	2010-12-12	PP_00228BY.1	https://pathoplexus.org/seq/PP_00228BY.1	JX576738.1	https://www.ncbi.nlm.nih.gov/nuccore/JX576738.1	Europe	Netherlands				2013-06-08		Tan, L.; Coenjaerts, F. E.; Houspie, L.; Viveen, M. C.; van Bleek, G. M.; Wiertz, E. J.; Martin, D. P.; Lemey, P.	University Medical Center Utrecht, Medical Microbiology	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	44754	1	15222	1	F:1,G:1,L:1,M:1,M2-1:1,M2-2:1,N:1,NS1:1,NS2:1,P:1,SH:1	1.0	1.0
PP_0022EQZ	Brazil/PP_0022EQZ.1/2008-02-27	2008-02-27	PP_0022EQZ.1	https://pathoplexus.org/seq/PP_0022EQZ.1	JX908855.1	https://www.ncbi.nlm.nih.gov/nuccore/JX908855.1	South America	Brazil				2013-01-09		Machado, D. B. B.; Motta, F. C.; Souza, T. M. L.; Mesquita, M. M.; Siqueira, M. M.	Intituto Oswaldo Cruz, FIOCRUZ, Departamento de Virologia, Laboratorio de Virus Respiratorio e do Sarampo	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	2224	4838	5605	0.050453291288923924	G:0.7942122186495176	0.0	0.7942122186495176
PP_0022LUK	Thailand/PP_0022LUK.1/2011-09-16	2011-09-16	PP_0022LUK.1	https://pathoplexus.org/seq/PP_0022LUK.1	KC342345.1	https://www.ncbi.nlm.nih.gov/nuccore/KC342345.1	Asia	Thailand				2013-10-03		Auksornkitti, V.; Kamprasert, N.; Thongkomplew, S.; Suwannakarn, K.; Theamboonlers, A.; Samransamruajkij, R.; Poovorawan, Y.	Center of Excellence in Clinical Virology, Pediatrics	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4	0	0	good	0	2096	4967	5686	0.047299960583366184	F:0.0052173913043478265,G:0.6559485530546624	0.0052173913043478265	0.6559485530546624
PP_0022ZB7	Mexico/PP_0022ZB7.1/2004-10-18	2004-10-18	PP_0022ZB7.1	https://pathoplexus.org/seq/PP_0022ZB7.1	KF826825.1	https://www.ncbi.nlm.nih.gov/nuccore/KF826825.1	North America	Mexico				2013-11-25		Lorenzi, H.; Town, C.; Halpin, R.; Bera, J.; Ransier, A.; Fedorova, N.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Rebuffo-Scheer, C.; Fan, J.; He, J.; Kehl, S. C.; Lederboer, N.; Jurgens, L. A.; Bose, M. E.; Beck, E. T.; Kumar, S.; Noyola, D. E.; Wentworth, D. E.; Henrickson, K. J.	J. Craig Venter Institute	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	44562	1	15222	1	F:1,G:1,L:1,M:1,M2-1:1,M2-2:1,N:1,NS1:1,NS2:1,P:1,SH:1	1.0	1.0
PP_00237CV	Turkey/PP_00237CV.1/2013	2013-XX-XX	PP_00237CV.1	https://pathoplexus.org/seq/PP_00237CV.1	KM267026.1	https://www.ncbi.nlm.nih.gov/nuccore/KM267026.1	Europe	Turkey				2014-11-05		Bayrakdar, F.	Public Health Institution of Turkey, Virology	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	1165	5181	5599	0.027525949283931154	G:0.42443729903536975	0.0	0.42443729903536975
PP_00237TY	Spain/PP_00237TY.1/2014-01-12	2014-01-12	PP_00237TY.1	https://pathoplexus.org/seq/PP_00237TY.1	KM402680.1	https://www.ncbi.nlm.nih.gov/nuccore/KM402680.1	Europe	Spain	Catalunya	Barcelona ES		2014-11-12		Gimferrer, L.; Campins, M.; Codina, M. G.; Martin Mdel, C.; Fuentes, F.; Esperalba, J.; Bruguera, A.; Vilca, L. M.; Armadans, L.; Pumarola, T.; Anton, A.; Martin, M. D. C.; Vall, A.	Hospital Universitari Vall d'Hebron, Microbiology	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	2695	4646	5586	0.06181842070687164	G:1	0.0	1.0
PP_0023WYZ	Thailand/PP_0023WYZ.1/2008-09-22	2008-09-22	PP_0023WYZ.1	https://pathoplexus.org/seq/PP_0023WYZ.1	KR816659.1	https://www.ncbi.nlm.nih.gov/nuccore/KR816659.1	Asia	Thailand				2017-01-31		Nilwong, O.; Bhattarakosol, P.; Kowitdamrong, E.	Chulalongkorn University, Medical Microbiology (Interdisciplinary Program), Graduate School	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	4331	5757	7229	0.0967678360268033	F:0.8539130434782609	0.8539130434782609	0.0
PP_0024PBD	China/PP_0024PBD.1/2012	2012-XX-XX	PP_0024PBD.1	https://pathoplexus.org/seq/PP_0024PBD.1	KU962406.1	https://www.ncbi.nlm.nih.gov/nuccore/KU962406.1	Asia	China				2019-03-31		Jia, B.; Xiao, Y.; Wang, Y.; Chen, L.; Zhang, J.; Ren, L.; Wang, J.	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4	0	0	good	0	873	5276	5578	0.019905400078833266	G:0.3247588424437299	0.0	0.3247588424437299
PP_002580E	China/PP_002580E.1/2009	2009-XX-XX	PP_002580E.1	https://pathoplexus.org/seq/PP_002580E.1	KX892770.1	https://www.ncbi.nlm.nih.gov/nuccore/KX892770.1	Asia	China				2017-12-31		Song, J.; Zhang, Y.; Xu, W.	National Institute for Viral Disease Control and Prevention, China Center for Disease Control and Prevention, WHO WPRO Measles Regional Reference Lab, Key Laboratory of Medical Virology Ministry of Health	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	860	5276	5575	0.019708316909735908	G:0.3215434083601286	0.0	0.3215434083601286
PP_0026K4T	Croatia/PP_0026K4T.1/2011	2011-XX-XX	PP_0026K4T.1	https://pathoplexus.org/seq/PP_0026K4T.1	MF104659.1	https://www.ncbi.nlm.nih.gov/nuccore/MF104659.1	Europe	Croatia				2017-12-31		Jagusic, M.; Slovic, A.; Santak, M.; Kosutic-Gulija, T.; Ivancic-Jelecki, J.; Forcic, D.	University of Zagreb, Centre for Research And Knowledge Transfer in Biotechnology	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.1	0	0	good	0	3055	3119	4167	0.06891341479437656	M:1	0.0	0.0
PP_0026KVA	Turkey/PP_0026KVA.1/2014-12	2014-12-XX	PP_0026KVA.1	https://pathoplexus.org/seq/PP_0026KVA.1	MF177951.1	https://www.ncbi.nlm.nih.gov/nuccore/MF177951.1	Europe	Turkey				2018-01-09		Bayrakdar, F.; Kocabas, C. N.; Altas, A. B.; Kavuncuoglu, H. G.; Cosgun, Y.; Misirlioglu, E. D.; Durmaz, I.; Korukluoglu, G.; Ozkul, A.	Public Health Institution of Turkey, Virology	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4.1	0	0	good	0	1147	5186	5578	0.02581789515175404	G:0.4212218649517685	0.0	0.4212218649517685
PP_0026MRG	Spain/PP_0026MRG.1/2007-12-26	2007-12-26	PP_0026MRG.1	https://pathoplexus.org/seq/PP_0026MRG.1	MF443143.1	https://www.ncbi.nlm.nih.gov/nuccore/MF443143.1	Europe	Spain				2017-09-30		Trento, A.; Rodriguez-Fernandez, R.; Gonzalez, M. I.; Gonzalez, F.; Mas, V.; Vazquez, M.; Palomo, C.; Melero, J. A.	Instituto de Salud Carlos III, Unidad de Biologia Viral	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	2799	4631	5599	0.06365786361844698	G:1	0.0	1.0
PP_0026YR5	France/PP_0026YR5.1/2011	2011-XX-XX	PP_0026YR5.1	https://pathoplexus.org/seq/PP_0026YR5.1	MF510887.1	https://www.ncbi.nlm.nih.gov/nuccore/MF510887.1	Europe	France				2017-08-30		Pichon, M.; Gaymard, A.; Morfin, F.	Hospices Civils de Lyon, Virology Department	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	1288	5207	5658	0.029693864144002102	G:0.3987138263665595	0.0	0.3987138263665595
PP_0026YYR	France/PP_0026YYR.1/2011	2011-XX-XX	PP_0026YYR.1	https://pathoplexus.org/seq/PP_0026YYR.1	MF510894.1	https://www.ncbi.nlm.nih.gov/nuccore/MF510894.1	Europe	France				2017-08-30		Pichon, M.; Gaymard, A.; Morfin, F.	Hospices Civils de Lyon, Virology Department	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	1345	5193	5663	0.030942057548285377	G:0.4115755627009646	0.0	0.4115755627009646
PP_00273KA	USA/PP_00273KA.1/1982	1982-XX-XX	PP_00273KA.1	https://pathoplexus.org/seq/PP_00273KA.1	MG642043.1	https://www.ncbi.nlm.nih.gov/nuccore/MG642043.1		USA	New York	Monroe County NY		2017-12-13		Shabman, R.; Fedorova, N.; Puri, V.; Shrivastava, S.; Amedeo, P.; Isom, R.; Hu, L.; Pickett, B.; Novotny, M.; Durbin, A.; Rocchi, I.; Williams, T.; Hall, C. B.; Tesini, B. L.; Schnabel, K. C.; Walsh, E. E.; Caserta, M.	J. Craig Venter Institute	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.2	0	0	good	0	43434	1	15211	0.9992773617133097	F:1,G:1,L:1,M:1,M2-1:1,M2-2:1,N:1,NS1:1,NS2:1,P:1,SH:1	1.0	1.0
PP_00279AP	Germany/PP_00279AP.1/2014	2014-XX-XX	PP_00279AP.1	https://pathoplexus.org/seq/PP_00279AP.1	MG966957.1	https://www.ncbi.nlm.nih.gov/nuccore/MG966957.1	Europe	Germany	Wuerzburg			2018-03-19		Prifert, C.; Streng, A.; Schultz, J.; Liese, J. G.; Weissbrich, B.; Hofmann, D.	Institute of Virology and Immunobiology, University of Wuerzburg	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4	0	0	good	0	865	5276	5578	0.019905400078833266	G:0.3247588424437299	0.0	0.3247588424437299
PP_00289Z8	Taiwan/PP_00289Z8.1/2017	2017-XX-XX	PP_00289Z8.1	https://pathoplexus.org/seq/PP_00289Z8.1	MK361100.1	https://www.ncbi.nlm.nih.gov/nuccore/MK361100.1	Asia	Taiwan				2020-01-11		Lee, C.-Y.	Show-Chwan Memorial Hospital, Pediatrics	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4	0	0	good	0	1996	4916	5599	0.04493496255419787	G:0.7106109324758842	0.0	0.7106109324758842
PP_002KRW9	Kenya/PP_002KRW9.1/2017-05-10	2017-05-10	PP_002KRW9.1	https://pathoplexus.org/seq/PP_002KRW9.1	MN365333.1	https://www.ncbi.nlm.nih.gov/nuccore/MN365333.1	Africa	Kenya				2020-04-26		Kamau, E.; Otieno, J. R.; Murunga, N.; Nyiro, J. U.; Oketch, J. W.; Ngoi, J. M.; de Laurent, Z. R.; Mwema, A.; Agoti, C. N.; Nokes, D. J.	KEMRI-Wellcome Trust, Epidemiology and Demography	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4.1	0	0	good	0	45182	9	15222	0.999474444882407	F:1,G:1,L:1,M:1,M2-1:1,M2-2:1,N:1,NS1:1,NS2:1,P:1,SH:1	1.0	1.0
PP_002KZA8	India/PP_002KZA8.1/2017-11-02	2017-11-02	PP_002KZA8.1	https://pathoplexus.org/seq/PP_002KZA8.1	MN463640.1	https://www.ncbi.nlm.nih.gov/nuccore/MN463640.1	Asia	India				2020-08-11		Suresh, B. S.; Santhosha, D.; Rushil, B.; Preetiparna, P.; Mevis, F.; Ameen, A.; Arunkumar, G.	Manipal Academy of Higher Education (MAHE), Manipal Institute of Virology (MIV)	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4.1	0	0	good	0	739	5258	5506	0.016357903035080803	G:0.26688102893890675	0.0	0.26688102893890675
PP_002L9ZH	India/PP_002L9ZH.1/2013-10-14	2013-10-14	PP_002L9ZH.1	https://pathoplexus.org/seq/PP_002L9ZH.1	MT882097.1	https://www.ncbi.nlm.nih.gov/nuccore/MT882097.1	Asia	India				2021-12-31		Choudhary, M. L.; Chaudhary, U.	National Institute of Virology, Influenza Group	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4	0	0	good	0	3413	4646	5816	0.07692813033766917	F:0.0817391304347826,G:1	0.0817391304347826	1.0
PP_002MCN0	Germany/PP_002MCN0.1/2010-11-25	2010-11-25	PP_002MCN0.1	https://pathoplexus.org/seq/PP_002MCN0.1	MZ568935.1	https://www.ncbi.nlm.nih.gov/nuccore/MZ568935.1	Europe	Germany				2024-02-13		Kondgen, S.; Reiche, J.	Robert Koch Insitut	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.1	0	0	good	0	44617	1	15201	0.9986204178163185	F:1,G:1,L:1,M:1,M2-1:1,M2-2:1,N:1,NS1:1,NS2:1,P:1,SH:1	1.0	1.0
PP_002MCYE	Germany/PP_002MCYE.1/2003-01-16	2003-01-16	PP_002MCYE.1	https://pathoplexus.org/seq/PP_002MCYE.1	MZ568945.1	https://www.ncbi.nlm.nih.gov/nuccore/MZ568945.1	Europe	Germany				2024-02-13		Kondgen, S.; Reiche, J.	Robert Koch Insitut	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B	0	0	good	0	43846	1	15208	0.9990802785442123	F:1,G:1,L:1,M:1,M2-1:1,M2-2:1,N:1,NS1:1,NS2:1,P:1,SH:1	1.0	1.0
PP_002MVKP	Finland/PP_002MVKP.1/2017-12-24	2017-12-24	PP_002MVKP.1	https://pathoplexus.org/seq/PP_002MVKP.1	OK299563.1	https://www.ncbi.nlm.nih.gov/nuccore/OK299563.1	Europe	Finland				2021-10-30		Tabor, D. E.; Fernandes, F.; Langedijk, A. C.; Wilkins, D.; Lebbink, R. J.; Tovchigrechko, A.; Ruzin, A.; Kragten-Tabatabaie, L.; Jin, H.; Esser, M. T.; Bont, L. J.; Abram, M. E.; Tabor, D.	AstraZeneca, Microbial Sciences	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4.1.1	0	0	good	0	7444	5158	7661	0.1644987518065957	F:1,G:0.45016077170418006,M2-1:0.05612244897959184	1.0	0.45016077170418006
PP_002NJF7	Argentina/PP_002NJF7.1/2015-05-04	2015-05-04	PP_002NJF7.1	https://pathoplexus.org/seq/PP_002NJF7.1	ON237131.1	https://www.ncbi.nlm.nih.gov/nuccore/ON237131.1	South America	Argentina	Buenos Aires	Escobar		2023-02-11		Goya, S.; Lucion, M. F.; Shilts, M. H.; Juarez, M. D. V.; Gentile, A.; Mistchenko, A. S.; Viegas, M.; Das, S. R.	Ricardo Gutierrez Children's Hospital, Virology Laboratory	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D	0	0	good	0	44574	1	15211	0.9992773617133097	F:1,G:1,L:1,M:1,M2-1:1,M2-2:1,N:1,NS1:1,NS2:1,P:1,SH:1	1.0	1.0
PP_002PM7J	Spain/PP_002PM7J.1/2020-02-27	2020-02-27	PP_002PM7J.1	https://pathoplexus.org/seq/PP_002PM7J.1	OQ278693.1	https://www.ncbi.nlm.nih.gov/nuccore/OQ278693.1	Europe	Spain				2023-03-05		Wilkins, D.; Langedijk, A. C.; Lebbink, R. J.; Morehouse, C. A.; Abram, M. E.; Ahani, B.; Aksyuk, A. A.; Baraldi, E.; Brady, T.; Chen, A. T.; Chi, H.; Choi, E. H.; Cohen, R.; Danilenko, D. M.; Gopalakrishnan, V.; Greenough, A.; Heikkinen, T.; Hosoya, M.; Keller, C.; Kelly, E. J.; Kragten-Tabatabaie, L.; Martinon-Torres, F.; Mascarenas-de Los Santos, A. H.; Nunes, M. C.; Palomino, M. A.; Papenburg, J.; Pernica, J. M.; Richmond, P.; Stein, R. T.; Tuffy, K. M.; Verwey, C.; Esser, M. T.; Tabor, D. E.; Bont, L. J.	Astrazeneca, Early Vaccines & Immune Therapies	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4.1.1	0	0	good	0	5139	5676	7400	0.11332282223098147	F:1	1.0	0.0
PP_002RLC5	South_Korea/PP_002RLC5.1/2012	2012-XX-XX	PP_002RLC5.1	https://pathoplexus.org/seq/PP_002RLC5.1	OQ511431.1	https://www.ncbi.nlm.nih.gov/nuccore/OQ511431.1	Asia	South Korea	Seoul			2023-04-02		Kim, H. N.; Hwang, J.; Yoon, S.-Y.; Lim, C. S.; Cho, Y.; Lee, C.-K.; Nam, M.-H.	Korea University Guro Hospital, Laboratory Medicine	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.4	0	0	good	0	889	5261	5575	0.020693732755222703	G:0.33762057877813506	0.0	0.33762057877813506
PP_002RSYS	Italy/PP_002RSYS.1/2023-01	2023-01-XX	PP_002RSYS.1	https://pathoplexus.org/seq/PP_002RSYS.1	OR048874.1	https://www.ncbi.nlm.nih.gov/nuccore/OR048874.1	Europe	Italy				2023-07-04		Pierangeli, A.	Sapienza University, Molecular Medicine Laboratory of Virology	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		B.D.E.1	0	0	good	0	1234	5153	5578	0.02798581001182499	G:0.4565916398713826	0.0	0.4565916398713826
